14700;1;1;1;0;0;2
14700;1;1;1;0;1;2
14700;2;1;1;0;0;2
14700;2;1;1;0;1;2
9800;1;1;1;0;2;2
9800;2;1;1;0;2;2
8820;1;1;1;2;0;2
8820;1;1;1;2;1;2
8820;1;1;2;0;0;2
8820;1;1;2;0;1;2
8820;2;1;1;2;0;2
8820;2;1;1;2;1;2
8820;2;1;2;0;0;2
8820;2;1;2;0;1;2
7350;0;1;1;0;0;2
7350;0;1;1;0;1;2
5880;1;1;0;0;0;2
5880;1;1;0;0;1;2
5880;1;1;1;1;0;2
5880;1;1;1;1;1;2
5880;1;1;1;2;2;2
5880;1;1;2;0;2;2
5880;2;1;0;0;0;2
5880;2;1;0;0;1;2
5880;2;1;1;1;0;2
5880;2;1;1;1;1;2
5880;2;1;1;2;2;2
5880;2;1;2;0;2;2
5292;1;1;2;2;0;2
5292;1;1;2;2;1;2
5292;2;1;2;2;0;2
5292;2;1;2;2;1;2
4900;0;1;1;0;2;2
4410;0;1;1;2;0;2
4410;0;1;1;2;1;2
4410;0;1;2;0;0;2
4410;0;1;2;0;1;2
4200;1;0;1;0;0;2
4200;1;0;1;0;1;2
4200;1;1;1;0;0;1
4200;1;1;1;0;1;1
4200;2;0;1;0;0;2
4200;2;0;1;0;1;2
4200;2;1;1;0;0;1
4200;2;1;1;0;1;1
3920;1;1;0;0;2;2
3920;1;1;1;1;2;2
3920;2;1;0;0;2;2
3920;2;1;1;1;2;2
3528;1;1;0;2;0;2
